epoch 	 loss 	 correct predictions (train) 	 correct predictions (validate) 
----- 	 ----- 	 -------------------------- 	 ------------------------------ 
0 	 2.1455209645257773 	 0.29875 	 0.2 
1 	 1.6868531276920822 	 0.2125 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
1 	 1.6868531276920822 	 0.2125 	 0.2 
2 	 1.623310721153873 	 0.21875 	 0.2 
3 	 1.6227759117067766 	 0.2275 	 0.2 
4 	 1.6212830120552766 	 0.23125 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
1 	 1.6868531276920822 	 0.2125 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
1 	 1.6868531276920822 	 0.2125 	 0.2 
0 	 2.1455209645257773 	 0.29875 	 0.2 
1 	 1.6868531276920822 	 0.2125 	 0.2 
